City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Cherskiy,RU,2021-07-25 00:17:30,68.75,161.3,53.46,60,84,4.99
131,Ossora,RU,2021-07-25 00:17:30,59.2353,163.0719,59.77,86,94,8.7
132,Lircay,PE,2021-07-25 00:17:30,-12.9896,-74.7205,48.54,63,77,2.13
133,Birobidzhan,RU,2021-07-25 00:17:31,48.8,132.95,81.93,61,87,0.72
134,San Lawrenz,MT,2021-07-25 00:17:31,36.0553,14.204,77.86,81,0,3.67
135,Korla,CN,2021-07-25 00:17:31,41.7597,86.1469,84.11,24,22,12.28
136,Saskylakh,RU,2021-07-25 00:17:32,71.9167,114.0833,64.36,63,100,5.64
137,Juarez,MX,2021-07-25 00:13:57,31.7333,-106.4833,90.41,37,75,17.0
138,Haines Junction,CA,2021-07-25 00:17:32,60.7522,-137.5108,60.75,51,91,5.75
139,Amuntai,ID,2021-07-25 00:17:33,-2.4177,115.2494,75.15,82,32,1.74
140,Harer,ET,2021-07-25 00:17:33,9.3094,42.1258,56.7,83,100,12.73
141,Mehamn,NO,2021-07-25 00:17:33,71.0357,27.8492,44.46,85,100,24.83
142,Daru,PG,2021-07-25 00:17:34,-9.0763,143.2092,77.81,90,100,11.88
143,Kapaa,US,2021-07-25 00:17:34,22.0752,-159.319,84.18,80,75,3.0
144,Kazanskaya,RU,2021-07-25 00:17:34,45.4106,40.4361,68.2,51,28,7.45
145,Kontagora,NG,2021-07-25 00:17:35,10.3999,5.4695,69.82,93,65,4.5
146,San Patricio,US,2021-07-25 00:17:35,28.017,-97.5169,94.17,54,0,15.48
147,Ust-Kuyga,RU,2021-07-25 00:17:35,70.0167,135.6,58.75,52,100,9.48
148,Bilma,NE,2021-07-25 00:17:36,18.6853,12.9164,90.54,40,99,8.23
149,Saint-Augustin,CA,2021-07-25 00:17:36,51.226,-58.6502,53.04,79,3,5.97
150,Mpongwe,ZM,2021-07-25 00:17:37,-13.5091,28.155,51.75,79,39,8.16
151,Shaki,AZ,2021-07-25 00:17:37,41.0833,47.1667,74.19,65,94,5.08
152,Richards Bay,ZA,2021-07-25 00:17:38,-28.783,32.0377,52.81,77,20,4.72
153,Shetpe,KZ,2021-07-25 00:17:38,44.1667,52.1167,76.17,53,17,12.59
154,Mujiayingzi,CN,2021-07-25 00:17:38,42.1167,118.7833,77.2,69,66,8.63
155,Severo-Kurilsk,RU,2021-07-25 00:17:39,50.6789,156.125,56.84,91,70,2.06
156,Vostok,RU,2021-07-25 00:17:39,46.4856,135.8833,87.53,49,60,1.32
157,Tahoua,NE,2021-07-25 00:17:39,14.8888,5.2692,82.74,62,82,11.5
158,Tautira,PF,2021-07-25 00:17:40,-17.7333,-149.15,73.42,73,18,7.09
159,Saldanha,ZA,2021-07-25 00:17:40,-33.0117,17.9442,53.73,56,57,11.54
160,Luganville,VU,2021-07-25 00:17:41,-15.5333,167.1667,83.57,71,41,6.35
161,Omsukchan,RU,2021-07-25 00:17:41,62.5333,155.8,57.72,75,99,7.54
162,Alto Piquiri,BR,2021-07-25 00:17:41,-24.0281,-53.4406,63.72,53,0,8.32
163,Bilibino,RU,2021-07-25 00:17:42,68.0546,166.4372,57.78,51,51,3.36
164,Codrington,AU,2021-07-25 00:17:42,-38.2667,141.9667,46.49,78,91,16.91
165,Abu Kamal,SY,2021-07-25 00:17:42,34.4506,40.9171,91.18,28,0,8.3
166,Vallenar,CL,2021-07-25 00:17:43,-28.5708,-70.7581,54.66,60,2,2.35
167,Illela,NG,2021-07-25 00:17:43,13.7292,5.2975,81.46,65,38,7.23
168,Catumbela,AO,2021-07-25 00:17:44,-12.4314,13.5472,67.62,82,0,6.15
169,Celestun,MX,2021-07-25 00:17:44,20.8667,-90.4,83.39,75,50,14.88
170,Rundu,NA,2021-07-25 00:17:44,-17.9333,19.7667,51.87,47,0,7.76
171,Dwarka,IN,2021-07-25 00:17:45,22.2394,68.9678,82.9,85,100,21.74
172,Constitucion,CL,2021-07-25 00:17:45,-35.3333,-72.4167,51.82,89,99,16.58
173,Karratha,AU,2021-07-25 00:17:45,-20.7377,116.8463,70.77,40,87,8.05
174,Khovu-Aksy,RU,2021-07-25 00:17:46,51.1333,93.6,59.04,91,100,1.59
175,Ovsyanka,RU,2021-07-25 00:17:46,55.9575,92.5519,65.37,76,99,3.15
176,San Carlos,VE,2021-07-25 00:17:46,9.6612,-68.5827,74.25,96,100,3.11
177,Kavieng,PG,2021-07-25 00:17:47,-2.5744,150.7967,84.16,71,16,8.84
178,Santa Fe,AR,2021-07-25 00:14:21,-31.6333,-60.7,66.99,72,72,1.01
179,Yellowknife,CA,2021-07-25 00:17:47,62.456,-114.3525,58.32,47,75,1.99
180,Saint-Joseph,RE,2021-07-25 00:17:48,-21.3667,55.6167,64.76,81,27,6.98
181,Storforshei,NO,2021-07-25 00:17:48,66.4043,14.5233,52.66,98,100,1.07
182,Pakxan,LA,2021-07-25 00:17:48,18.3778,103.6601,74.43,98,100,2.3
183,Kangaatsiaq,GL,2021-07-25 00:17:49,68.3065,-53.4641,40.03,89,43,8.81
184,Nova Aurora,BR,2021-07-25 00:17:49,-22.8667,-52.5667,66.24,36,0,5.77
185,Udachnyy,RU,2021-07-25 00:17:50,66.4167,112.4,73.0,48,6,14.0
186,Westport,US,2021-07-25 00:17:50,41.1415,-73.3579,76.62,61,1,8.99
187,Geraldton,AU,2021-07-25 00:17:50,-28.7667,114.6,55.81,88,90,8.05
188,Suntar,RU,2021-07-25 00:17:51,62.1444,117.6319,68.14,57,59,7.87
189,Bambous Virieux,MU,2021-07-25 00:17:51,-20.3428,57.7575,70.05,78,40,11.5
190,Nautla,MX,2021-07-25 00:17:51,20.2167,-96.7833,84.42,67,10,9.51
191,Namwala,ZM,2021-07-25 00:17:52,-15.7504,26.4384,53.38,78,1,4.88
192,Hearst,CA,2021-07-25 00:17:52,49.6835,-83.6665,70.05,93,100,6.17
193,Dawei,MM,2021-07-25 00:17:52,14.0833,98.2,75.52,97,100,4.83
194,Albury,AU,2021-07-25 00:17:53,-36.0833,146.9167,42.85,93,90,10.36
195,Norman Wells,CA,2021-07-25 00:17:53,65.282,-126.8329,68.04,37,75,9.22
196,Airai,TL,2021-07-25 00:17:54,-8.9266,125.4092,68.67,28,5,2.51
197,Bethel,US,2021-07-25 00:17:54,41.3712,-73.414,75.02,73,63,6.93
198,Bintulu,MY,2021-07-25 00:17:54,3.1667,113.0333,79.21,94,20,3.44
199,Mar Del Plata,AR,2021-07-25 00:15:58,-38.0023,-57.5575,52.12,60,90,11.01
200,Qaqortoq,GL,2021-07-25 00:17:55,60.7167,-46.0333,46.9,96,72,2.06
201,Faanui,PF,2021-07-25 00:17:55,-16.4833,-151.75,78.62,66,41,11.23
202,Grande Prairie,CA,2021-07-25 00:17:56,55.1667,-118.8027,73.58,35,75,20.71
203,Ugoofaaru,MV,2021-07-25 00:17:56,5.6667,73.0,81.36,75,91,5.61
204,Bushehr,IR,2021-07-25 00:17:56,28.9684,50.8385,93.02,74,63,6.87
205,Wanning,CN,2021-07-25 00:17:57,18.8003,110.3967,81.79,81,25,10.2
206,Wajima,JP,2021-07-25 00:17:57,37.4,136.9,86.68,70,40,6.91
207,Nouakchott,MR,2021-07-25 00:17:21,18.0858,-15.9785,75.13,80,50,12.62
208,Pumiao,CN,2021-07-25 00:17:58,22.75,108.4833,82.8,81,34,3.13
209,Constantine,DZ,2021-07-25 00:17:58,36.365,6.6147,90.81,20,75,14.97
210,Yar-Sale,RU,2021-07-25 00:17:58,66.8333,70.8333,52.39,89,1,8.84
211,Dolores,AR,2021-07-25 00:17:59,-36.3132,-57.6792,53.19,90,98,14.72
212,Hofn,IS,2021-07-25 00:17:59,64.2539,-15.2082,52.3,88,50,14.81
213,Ostrovnoy,RU,2021-07-25 00:18:00,68.0531,39.5131,45.01,85,95,21.81
214,Kasongo,CD,2021-07-25 00:18:00,-4.45,26.6667,77.2,35,94,2.37
215,Beringovskiy,RU,2021-07-25 00:18:00,63.05,179.3167,55.78,76,100,7.83
216,Brigham City,US,2021-07-25 00:18:01,41.5102,-112.0155,100.2,11,1,1.01
217,Senneterre,CA,2021-07-25 00:18:01,48.3835,-77.2328,61.02,96,100,15.12
218,Longyearbyen,SJ,2021-07-25 00:18:02,78.2186,15.6401,42.64,81,75,16.11
219,Saint-Jovite,CA,2021-07-25 00:13:35,46.1186,-74.5966,68.94,66,100,7.83
220,Lexington,US,2021-07-25 00:16:40,37.9887,-84.4777,82.92,56,1,4.61
221,Coruripe,BR,2021-07-25 00:18:03,-10.1256,-36.1756,73.4,78,0,13.33
222,Taltal,CL,2021-07-25 00:18:03,-25.4,-70.4833,60.06,68,7,3.98
223,Corpus Christi,US,2021-07-25 00:15:00,27.8006,-97.3964,93.43,72,20,8.01
224,Pacific Grove,US,2021-07-25 00:18:03,36.6177,-121.9166,89.02,79,20,7.0
225,Mount Gambier,AU,2021-07-25 00:18:04,-37.8333,140.7667,46.72,75,100,14.25
226,Lagoa,PT,2021-07-25 00:18:04,39.05,-27.9833,69.33,89,40,14.52
227,Port-Gentil,GA,2021-07-25 00:14:14,-0.7193,8.7815,75.16,74,93,11.3
228,Grindavik,IS,2021-07-25 00:18:05,63.8424,-22.4338,49.95,93,75,8.05
229,Honningsvag,NO,2021-07-25 00:18:05,70.9821,25.9704,45.41,81,100,24.63
230,Tuktoyaktuk,CA,2021-07-25 00:18:05,69.4541,-133.0374,64.4,45,75,16.11
231,Zhigansk,RU,2021-07-25 00:18:06,66.7697,123.3711,63.12,59,26,17.27
232,Lahat,ID,2021-07-25 00:18:06,-3.8,103.5333,73.24,84,7,1.79
233,Awjilah,LY,2021-07-25 00:18:07,29.1081,21.2869,77.5,62,0,8.88
234,Nanortalik,GL,2021-07-25 00:18:07,60.1432,-45.2371,43.18,97,100,10.04
235,Chicama,PE,2021-07-25 00:18:07,-7.8447,-79.1469,64.94,82,21,5.82
236,Afonso Claudio,BR,2021-07-25 00:18:08,-20.0742,-41.1239,57.34,91,0,3.67
237,Qatana,SY,2021-07-25 00:18:09,33.4354,36.0815,72.16,74,0,1.5
238,Yulara,AU,2021-07-25 00:18:09,-25.2406,130.9889,55.24,44,40,6.91
239,Odweyne,SO,2021-07-25 00:18:10,9.4092,45.064,71.46,52,99,22.5
240,Greenville,US,2021-07-25 00:14:33,35.6127,-77.3663,81.01,64,1,8.05
241,Ust-Nera,RU,2021-07-25 00:18:10,64.5667,143.2,57.61,98,100,6.91
242,Caravelas,BR,2021-07-25 00:18:11,-17.7125,-39.2481,71.83,60,85,8.39
243,Manokwari,ID,2021-07-25 00:18:11,-0.8667,134.0833,80.08,72,100,1.72
244,Khatanga,RU,2021-07-25 00:18:12,71.9667,102.5,56.61,54,70,19.98
245,Sayyan,YE,2021-07-25 00:18:12,15.1718,44.3244,62.1,70,75,0.67
246,Turochak,RU,2021-07-25 00:18:12,52.2576,87.1224,63.59,97,78,1.88
247,Lavrentiya,RU,2021-07-25 00:18:13,65.5833,-171.0,44.71,98,100,10.83
248,Kulhudhuffushi,MV,2021-07-25 00:18:13,6.6221,73.07,81.54,75,90,11.72
249,Torbay,CA,2021-07-25 00:18:14,47.6666,-52.7314,57.76,92,20,11.5
250,Lasa,IT,2021-07-25 00:18:14,46.6166,10.7002,65.03,94,46,2.89
251,Sitka,US,2021-07-25 00:18:14,57.0531,-135.33,57.09,82,75,10.36
